sekolah,jenis_kelamin,usia,tipe_alamat,ukuran_keluarga,status_orangtua,pendidikan_ibu,pendidikan_ayah,pekerjaan_ibu,pekerjaan_ayah,alasan_pilih_sekolah,wali,waktu_tempuh,waktu_belajar,jumlah_kegagalan,dukungan_sekolah,dukungan_keluarga,les_pribadi,kegiatan_ekstra,pernah_paud,ingin_pendidikan_tinggi,internet_rumah,hubungan_romantis,hubungan_keluarga,waktu_luang,keluar_dengan_teman,konsumsi_alkohol_harian,konsumsi_alkohol_akhir_pekan,kesehatan,ketidakhadiran,nilai_periode1,nilai_periode2,nilai_akhir,subject,risiko_gagal
Gabriel Pereira,Laki-laki,16,Perkotaan,3 atau kurang,Tinggal bersama,4,2,Guru,Lainnya,Kurikulum,Ibu,1,2,0,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,4,5,1,1,3,5,2,15,15,16,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,3 atau kurang,Tinggal bersama,2,2,Lainnya,Lainnya,Reputasi,Ibu,2,2,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,5,4,4,2,4,5,0,13,13,12,Math,0
Gabriel Pereira,Perempuan,15,Perdesaan,Lebih dari 3,Tinggal bersama,2,4,Jasa,Kesehatan,Kurikulum,Ibu,1,3,0,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,4,3,2,1,1,5,2,10,9,8,Math,1
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,2,2,Jasa,Jasa,Dekat rumah,Ibu,1,1,2,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,1,2,2,1,3,5,14,6,9,8,Math,1
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,2,2,Lainnya,Lainnya,Dekat rumah,Ibu,1,1,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,4,2,2,1,2,5,2,12,12,11,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,2,Kesehatan,Jasa,Lainnya,Ibu,1,1,0,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,2,2,4,2,4,1,4,15,16,15,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,3 atau kurang,Berpisah,3,4,Jasa,Lainnya,Dekat rumah,Ibu,1,2,0,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,5,3,3,1,1,5,4,11,11,11,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Guru,Guru,Dekat rumah,Ibu,1,2,0,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,4,4,5,5,5,5,16,10,12,11,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Kesehatan,Jasa,Dekat rumah,Ibu,1,2,0,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,5,4,2,3,4,5,0,9,11,12,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Jasa,Jasa,Reputasi,Ibu,2,2,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,4,3,1,1,1,5,0,17,16,17,Math,0
Gabriel Pereira,Laki-laki,15,Perdesaan,Lebih dari 3,Tinggal bersama,4,3,Guru,Ibu rumah tangga,Kurikulum,Ibu,1,2,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,4,5,2,1,1,5,0,17,16,16,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,3 atau kurang,Tinggal bersama,3,3,Lainnya,Lainnya,Kurikulum,Ibu,1,2,0,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,5,3,2,1,1,2,0,8,10,12,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,Lebih dari 3,Tinggal bersama,3,2,Lainnya,Lainnya,Dekat rumah,Ibu,1,1,0,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,5,4,3,1,1,5,0,12,14,15,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,2,3,Lainnya,Lainnya,Lainnya,Ayah,2,1,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,3,5,1,1,1,5,0,8,7,6,Math,1
Gabriel Pereira,Laki-laki,15,Perkotaan,3 atau kurang,Tinggal bersama,4,3,Guru,Jasa,Dekat rumah,Ibu,1,3,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,5,4,3,1,1,4,2,15,16,18,Math,0
Gabriel Pereira,Laki-laki,16,Perdesaan,Lebih dari 3,Berpisah,4,4,Lainnya,Guru,Reputasi,Ibu,2,3,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,2,4,3,1,1,5,7,15,16,15,Math,0
Gabriel Pereira,Perempuan,15,Perdesaan,Lebih dari 3,Tinggal bersama,3,4,Jasa,Kesehatan,Kurikulum,Ibu,1,3,0,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,4,3,2,1,1,5,2,12,12,11,Math,0
Gabriel Pereira,Perempuan,15,Perdesaan,Lebih dari 3,Tinggal bersama,2,2,Ibu rumah tangga,Lainnya,Reputasi,Ibu,1,1,0,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,4,3,1,1,1,2,8,14,13,13,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,3 atau kurang,Tinggal bersama,2,2,Lainnya,Lainnya,Dekat rumah,Ibu,2,2,1,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,3,3,3,1,2,3,25,7,10,11,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,3 atau kurang,Tinggal bersama,4,4,Guru,Lainnya,Dekat rumah,Wali lain,1,1,0,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,5,4,3,2,4,5,8,12,12,12,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Jasa,Guru,Kurikulum,Ayah,1,2,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,4,3,3,1,1,5,2,19,18,18,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,2,2,Jasa,Jasa,Kurikulum,Ayah,1,1,0,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,5,4,1,1,1,1,0,8,8,11,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,3 atau kurang,Tinggal bersama,2,2,Lainnya,Ibu rumah tangga,Kurikulum,Ayah,2,2,1,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,4,3,3,2,2,5,14,10,10,9,Math,1
Gabriel Pereira,Perempuan,15,Perkotaan,3 atau kurang,Berpisah,4,3,Lainnya,Lainnya,Kurikulum,Ibu,1,2,0,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,5,2,2,1,1,5,8,8,8,6,Math,1
Gabriel Pereira,Perempuan,16,Perkotaan,3 atau kurang,Berpisah,3,3,Lainnya,Jasa,Dekat rumah,Ibu,1,2,0,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,2,3,5,1,4,3,12,11,12,11,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,Lebih dari 3,Tinggal bersama,4,3,Kesehatan,Jasa,Reputasi,Ibu,1,4,0,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,4,2,2,1,1,2,4,19,19,20,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,2,Guru,Lainnya,Dekat rumah,Ibu,1,2,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,4,3,3,2,2,5,2,15,15,14,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Jasa,Guru,Lainnya,Ayah,1,2,1,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,4,4,4,1,1,3,2,7,7,7,Math,1
Gabriel Pereira,Perempuan,16,Perkotaan,3 atau kurang,Tinggal bersama,2,2,Jasa,Jasa,Kurikulum,Ibu,3,2,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,4,3,3,2,3,4,2,12,13,13,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,3 atau kurang,Tinggal bersama,4,2,Kesehatan,Lainnya,Lainnya,Ibu,1,2,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,4,3,3,1,1,5,2,11,13,13,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,3 atau kurang,Berpisah,4,2,Kesehatan,Kesehatan,Lainnya,Ayah,2,1,1,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,5,5,5,3,4,5,6,11,11,10,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Jasa,Jasa,Kurikulum,Ibu,1,1,0,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,3,3,4,2,3,5,0,8,10,11,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,3 atau kurang,Berpisah,3,3,Lainnya,Lainnya,Lainnya,Ibu,1,1,0,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,5,3,4,4,4,1,6,10,13,13,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Berpisah,2,1,Lainnya,Lainnya,Lainnya,Ibu,1,2,0,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,5,3,4,1,1,2,8,8,9,10,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Berpisah,4,3,Jasa,Jasa,Reputasi,Ibu,1,2,0,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,4,3,2,1,1,1,0,14,15,15,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Guru,Kesehatan,Reputasi,Ibu,1,2,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,3,2,2,1,1,5,4,14,15,15,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,3 atau kurang,Tinggal bersama,1,2,Lainnya,Ibu rumah tangga,Dekat rumah,Ayah,1,2,0,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,4,3,2,1,1,5,2,9,10,9,Math,1
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,4,2,Jasa,Lainnya,Kurikulum,Ibu,1,2,0,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,4,2,3,1,1,5,2,15,16,16,Math,0
Gabriel Pereira,Perempuan,16,Perdesaan,Lebih dari 3,Tinggal bersama,4,4,Kesehatan,Guru,Lainnya,Ibu,1,2,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,2,4,4,2,3,4,6,10,11,11,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,1,1,Jasa,Jasa,Kurikulum,Ayah,4,1,0,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,5,5,5,5,5,5,6,10,8,11,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,3 atau kurang,Tinggal bersama,1,2,Lainnya,Jasa,Reputasi,Ayah,1,2,0,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,4,4,3,1,1,1,4,8,10,9,Math,1
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,4,3,Guru,Kesehatan,Dekat rumah,Ibu,1,3,0,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,3,4,4,2,4,4,2,10,9,9,Math,1
Gabriel Pereira,Perempuan,15,Perkotaan,3 atau kurang,Tinggal bersama,4,3,Jasa,Jasa,Reputasi,Ayah,1,2,0,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,4,4,4,2,4,2,0,10,10,10,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,3 atau kurang,Tinggal bersama,4,3,Guru,Jasa,Kurikulum,Ibu,3,2,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,5,4,3,1,2,1,2,16,15,15,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Berpisah,4,4,Lainnya,Jasa,Reputasi,Ibu,1,4,0,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,1,3,3,5,5,3,4,13,13,12,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,3,1,Jasa,Lainnya,Kurikulum,Ibu,1,4,0,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,4,3,3,1,2,5,4,7,7,6,Math,1
Gabriel Pereira,Perempuan,15,Perdesaan,3 atau kurang,Tinggal bersama,2,2,Kesehatan,Jasa,Reputasi,Ibu,2,2,0,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,4,1,3,1,3,4,2,8,9,8,Math,1
Gabriel Pereira,Perempuan,15,Perdesaan,3 atau kurang,Tinggal bersama,3,1,Lainnya,Lainnya,Reputasi,Ayah,2,4,0,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,4,4,2,2,3,3,12,16,16,16,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,Lebih dari 3,Tinggal bersama,3,1,Lainnya,Lainnya,Reputasi,Ayah,2,4,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,4,3,2,1,1,5,0,13,15,15,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,2,Lainnya,Lainnya,Kurikulum,Ibu,1,4,0,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,3,3,3,1,1,3,0,10,10,10,Math,0
Gabriel Pereira,Perempuan,15,Perdesaan,Lebih dari 3,Tinggal bersama,1,1,Lainnya,Lainnya,Reputasi,Ibu,1,2,2,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,3,3,4,2,4,5,2,8,6,5,Math,1
Gabriel Pereira,Laki-laki,16,Perkotaan,Lebih dari 3,Tinggal bersama,3,1,Lainnya,Lainnya,Reputasi,Ibu,1,1,0,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,5,3,2,2,2,5,2,12,12,14,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,3,3,Lainnya,Jasa,Dekat rumah,Ibu,1,2,0,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,4,3,3,2,4,5,54,11,12,11,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,3,Guru,Lainnya,Dekat rumah,Ibu,1,2,0,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,4,3,3,2,3,5,6,9,9,10,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,0,Guru,Lainnya,Kurikulum,Ibu,2,4,0,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,3,4,3,1,1,1,8,11,11,10,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,2,2,Lainnya,Lainnya,Reputasi,Ibu,1,4,0,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,5,2,3,1,3,3,0,11,11,11,Math,0
Gabriel Pereira,Laki-laki,17,Perkotaan,Lebih dari 3,Tinggal bersama,2,1,Lainnya,Lainnya,Dekat rumah,Ibu,2,1,3,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,4,5,1,1,1,3,2,8,8,10,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,3,4,Ibu rumah tangga,Lainnya,Kurikulum,Ibu,1,2,0,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,2,4,3,1,2,3,12,5,5,5,Math,1
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,2,3,Lainnya,Jasa,Kurikulum,Ayah,1,1,0,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,3,2,2,1,3,3,2,10,12,12,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,2,3,Lainnya,Lainnya,Dekat rumah,Ibu,1,3,0,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,5,3,2,1,2,5,4,11,10,11,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,3 atau kurang,Tinggal bersama,3,2,Jasa,Lainnya,Reputasi,Ibu,1,2,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,4,4,4,1,1,5,10,7,6,6,Math,1
Gabriel Pereira,Laki-laki,15,Perkotaan,3 atau kurang,Tinggal bersama,2,2,Jasa,Jasa,Dekat rumah,Ibu,2,2,0,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,5,3,3,1,3,4,4,15,15,15,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,1,1,Lainnya,Lainnya,Dekat rumah,Ayah,1,2,0,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,4,3,2,2,3,4,2,9,10,10,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Jasa,Jasa,Reputasi,Ayah,2,2,2,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,4,4,4,2,3,5,6,7,9,8,Math,1
Gabriel Pereira,Perempuan,16,Perkotaan,3 atau kurang,Tinggal bersama,2,2,Ibu rumah tangga,Lainnya,Kurikulum,Ibu,1,2,0,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,4,3,4,1,2,2,4,8,7,6,Math,1
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,2,Lainnya,Lainnya,Reputasi,Ibu,1,3,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,5,3,3,1,3,1,4,13,14,14,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,Lebih dari 3,Tinggal bersama,2,2,Jasa,Lainnya,Reputasi,Ayah,2,2,1,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,4,4,2,1,1,3,12,11,10,10,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,3 atau kurang,Berpisah,4,4,Guru,Kesehatan,Reputasi,Ibu,1,2,0,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,4,1,3,3,5,5,18,8,6,7,Math,1
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,3,3,Lainnya,Lainnya,Dekat rumah,Ibu,1,3,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,4,3,3,1,3,4,0,7,7,8,Math,1
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,3,Jasa,Lainnya,Reputasi,Ibu,1,1,0,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,4,5,5,1,3,1,4,16,17,18,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,3 atau kurang,Tinggal bersama,3,1,Lainnya,Lainnya,Dekat rumah,Ayah,1,2,0,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,3,3,3,2,3,2,4,7,6,6,Math,1
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,4,2,Guru,Jasa,Dekat rumah,Ibu,2,2,0,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,5,3,3,1,1,1,0,11,10,10,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,3 atau kurang,Tinggal bersama,2,2,Jasa,Kesehatan,Reputasi,Ibu,1,4,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,4,3,4,1,1,4,6,11,13,14,Math,0
Gabriel Pereira,Perempuan,15,Perdesaan,Lebih dari 3,Tinggal bersama,1,1,Ibu rumah tangga,Lainnya,Dekat rumah,Ibu,2,4,1,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,3,1,2,1,1,1,2,7,10,10,Math,0
Gabriel Pereira,Laki-laki,16,Perdesaan,Lebih dari 3,Tinggal bersama,4,3,Jasa,Lainnya,Reputasi,Ibu,2,1,0,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,3,3,3,1,1,4,2,11,15,15,Math,0
